City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
255,Ivaipora,BR,70.86,light rain,-24.25,-51.68,Vilhar Palace Hotel
257,Buala,SB,82.17,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
264,Udankudi,IN,77.63,moderate rain,8.43,78.02,"SRI ANANDHI TRADERS,UDANGUDI"
269,San Luis,AR,77.79,clear sky,-33.3,-66.34,Huarpes Hotel
271,Owando,CG,75.07,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
273,Tanabi,BR,88.02,overcast clouds,-20.63,-49.65,Point Hotel em Tanabi - SP
277,Victoria,HK,75.38,overcast clouds,22.29,114.16,Mini Central
284,Mangrol,IN,76.24,clear sky,21.12,70.12,Hotel The Royal Honours
285,Hithadhoo,MV,81.57,overcast clouds,-0.6,73.08,Scoop Guest House
289,Bondoukou,CI,76.68,overcast clouds,8.03,-2.8,Prestige Hotel
291,Gushikawa,JP,70.83,overcast clouds,26.35,127.87,Kirari Guest House
292,Vila Velha,BR,78.75,broken clouds,-20.33,-40.29,Hotel Vitória Palace
293,Kualakapuas,ID,74.71,overcast clouds,-3.01,114.39,Guest House Izonk
295,Caravelas,BR,76.95,clear sky,-17.71,-39.25,Pousada dos Navegantes
299,Acapulco,MX,84.51,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
307,Auki,SB,81.3,few clouds,-8.77,160.7,Auki Motel
310,Tautira,PF,77.16,light rain,-17.73,-149.15,Pension Oaoa
311,Simoes,BR,85.26,overcast clouds,-7.6,-40.82,Hotel Ponto Certo
315,Galesong,ID,75.22,overcast clouds,-5.32,119.37,Sapriadi Appy
317,Kavieng,PG,82.56,overcast clouds,-2.57,150.8,Nusa Island Retreat
318,Hervey Bay,AU,73.36,clear sky,-25.3,152.85,Shelly Bay Resort
320,Karachi,PK,73.22,smoke,24.91,67.08,Quetta Mubarak Hotel
321,Arteche,PH,79.34,overcast clouds,12.26,125.4,CATALO LODGING HAUS
322,Tocache,PE,79.72,overcast clouds,-8.18,-76.51,Marylin Trevejos Rojas
323,Ewa Beach,US,83.08,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
328,Touros,BR,79.38,few clouds,-5.2,-35.46,INN NEW HORIZON
329,Bac Lieu,VN,78.6,overcast clouds,9.28,105.72,Khách sạn Sài Gòn Bạc Liêu
332,Ilo,PE,70.66,clear sky,-17.64,-71.34,Torreblanca Hotel
333,Da Nang,VN,78.78,scattered clouds,16.07,108.22,Grand Mercure Danang
334,Amahai,ID,79.48,overcast clouds,-3.33,128.92,HOTEL ISABELA
337,Tibagi,BR,71.1,overcast clouds,-24.51,-50.41,Far View Inn
339,Saint-Georges,GD,85.68,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
342,Punta Alta,AR,71.11,clear sky,-38.88,-62.07,Center Hotel Punta Alta
344,Tra Vinh,VN,77.68,overcast clouds,9.93,106.35,Hồng Ân
347,Bourail,NC,76.66,few clouds,-21.57,165.48,Nekweta
349,Mareeba,AU,74.12,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
350,Itarema,BR,80.04,overcast clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
352,Koungou,YT,78.51,few clouds,-12.73,45.2,Villa Netibor
353,Ghanzi,BW,77.77,few clouds,-21.57,21.78,Ghanzi Farmhouse
356,Kununurra,AU,78.78,broken clouds,-15.77,128.73,Hotel Kununurra
358,Bubaque,GW,83.61,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
360,Itamarandiba,BR,70.32,moderate rain,-17.86,-42.86,Aricanduva Hotel
364,Ocampo,MX,73.42,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
365,Miraflores,MX,78.98,few clouds,19.22,-98.81,Hotel Mansión
366,Samarai,PG,82.71,broken clouds,-10.62,150.67,Nuli Sapi
367,Nhulunbuy,AU,79.41,scattered clouds,-12.23,136.77,East Arnhem Real Estate
369,Dicabisagan,PH,77.43,broken clouds,17.08,122.42,Nancy Montanes Bernardo
370,Les Cayes,HT,83.59,scattered clouds,18.2,-73.75,Villa Orphee
378,Elat,IL,73.24,scattered clouds,29.56,34.95,Club Hotel Eilat
381,Villanueva,HN,84.04,broken clouds,15.32,-88.0,Apartamentosjuarez
384,Arlit,NE,72.81,clear sky,18.74,7.39,Hôtel Telwa Bungalow
385,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
387,Rawson,AR,73.67,few clouds,-43.3,-65.1,Hosteria Sampedro
391,Resistencia,AR,85.08,clear sky,-27.46,-58.98,Niyat Urban Hotel
393,Teguise,ES,75.42,clear sky,29.06,-13.56,B&B La Casona de Nazaret
394,Omboue,GA,76.24,overcast clouds,-1.57,9.26,Hotel Olako
397,Port Blair,IN,80.17,overcast clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
400,Alofi,NU,76.89,light intensity shower rain,-19.06,-169.92,Taloa Heights
402,Sarangani,PH,83.91,overcast clouds,5.4,125.46,JVL Inn and Cafeteria
408,Wahiawa,US,79.86,clear sky,21.5,-158.02,The Inn At Schofield
410,Morondava,MG,78.39,moderate rain,-20.28,44.28,La Case Bambou
413,Ahuimanu,US,82.85,clear sky,21.44,-157.84,Paradise Bay Resort
414,Qui Nhon,VN,75.16,overcast clouds,13.77,109.23,Seagull Hotel
418,Le Moule,GP,82.44,broken clouds,16.33,-61.35,Lakaz Hananou
426,Dolores,AR,71.31,overcast clouds,-36.31,-57.68,Apart Hotel - Arianos
432,Weligama,LK,73.45,overcast clouds,5.97,80.42,Weligama Bay Resort
438,Rio Claro,BR,81.07,broken clouds,-22.41,-47.56,Hotel Vivendas Rio Claro by Atlantica
443,Diffa,NE,75.22,clear sky,13.32,12.61,ProDAF/Diffa
444,Tuy Hoa,VN,74.61,broken clouds,13.08,109.3,Hotel Sài Gòn-Phú Yên
446,Barabai,ID,73.53,overcast clouds,-2.58,115.38,Rumah Bani bin nana
447,Novo Aripuana,BR,87.87,moderate rain,-5.12,-60.38,Hotel Ypê
449,Kulhudhuffushi,MV,81.57,overcast clouds,6.62,73.07,Haajy Guest House 1
453,Banda Aceh,ID,77.7,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
454,Guanica,PR,85.05,broken clouds,17.97,-66.91,Copamarina Beach Resort & Spa
460,Bathsheba,BB,84.81,scattered clouds,13.22,-59.52,Atlantis Hotel
466,Salalah,OM,75.02,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
468,Cayenne,GF,84.24,clear sky,4.93,-52.33,Hôtel Le Dronmi
469,Vaitape,PF,78.58,overcast clouds,-16.52,-151.75,Conrad Bora Bora Nui
470,Quirinopolis,BR,86.32,broken clouds,-18.45,-50.45,Rota Hotéis - Quirinópolis GO
471,Makakilo City,US,81.68,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
472,Afogados Da Ingazeira,BR,85.39,overcast clouds,-7.75,-37.64,Hotel Brotas
474,Boueni,YT,78.78,clear sky,-12.9,45.08,Santal Logis
476,Hobyo,SO,79.99,clear sky,5.35,48.53,Halane Hotel and Restaurent
487,Waingapu,ID,80.01,broken clouds,-9.66,120.26,Pondok Wisata Elim
488,Ambon,ID,78.24,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
490,Atambua,ID,75.25,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
491,Kavaratti,IN,79.68,overcast clouds,10.57,72.64,Dharul Hudha
493,Grand-Santi,GF,82.26,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
494,Chitipa,MW,72.66,overcast clouds,-9.7,33.27,Mama Efelo Lodge
495,Diego De Almagro,CL,80.78,clear sky,-26.37,-70.05,hotel luna del desierto
496,General Pico,AR,77.68,clear sky,-35.66,-63.76,Euskadi Hotel
499,Pathein,MM,72.95,overcast clouds,16.78,94.73,Pathein Hotel
501,Luang Prabang,LA,70.54,broken clouds,19.89,102.13,The Luang Say Residence
502,Praya,CV,77.54,few clouds,14.92,-23.51,LT Aparthotel
503,Kailua,US,83.14,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
508,Knysna,ZA,72.39,overcast clouds,-34.04,23.05,Protea by Marriott Hotel Knysna Quays
509,Viedma,AR,76.46,overcast clouds,-40.81,-63.0,Hotel Cristal
513,Sesori,SV,86.05,broken clouds,13.72,-88.37,Acuático El Chagüite Park
514,Saint-Pierre,RE,71.28,few clouds,-21.34,55.48,Alize Plage
518,Axim,GH,78.91,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
521,Humaita,BR,78.6,moderate rain,-7.51,-63.02,Corrêa Hotel
522,Dogondoutchi,NE,79.25,clear sky,13.64,4.03,Hôtel Alheri Maison Alheri
524,Pedernales,DO,83.52,clear sky,18.04,-71.74,Hotel Costa Marina
525,Andros Town,BS,82.36,clear sky,24.7,-77.77,CBH
527,Manakara,MG,71.2,light rain,-22.13,48.02,La Residence Manakara
530,Vanimo,PG,76.44,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
534,Sweetwater,US,84.02,overcast clouds,25.76,-80.37,Li'l Abner Mobile Home Park
537,Ipanema,BR,84.18,scattered clouds,-30.14,-51.22,Terra e Brisa
538,Afonso Bezerra,BR,83.86,scattered clouds,-5.5,-36.51,Pousada Shammah
539,America Dourada,BR,78.51,broken clouds,-11.46,-41.44,Fazenda Aparecida
541,Meulaboh,ID,75.02,overcast clouds,4.14,96.13,Kost Pria
542,Santa Rosa Del Sur,CO,76.06,broken clouds,7.96,-74.05,Casa paterna
543,Cam Ranh,VN,78.76,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
547,Miri,MY,73.54,light rain,4.41,114.01,"Mega Hotel, Miri"
549,San Juan Tecuaco,GT,81.93,overcast clouds,14.08,-90.26,Boulevard La Ocho
552,Lamu,KE,80.82,overcast clouds,-2.27,40.9,Lamu House
557,Maumere,ID,80.8,broken clouds,-8.62,122.21,Sylvia Hotel
559,Sri Aman,MY,73.08,overcast clouds,1.24,111.46,Seri Simanggang Hotel
564,Ankazoabo,MG,72.72,light rain,-22.28,44.52,ENCEIN BUREAU CISCO
566,Coahuayana,MX,86.5,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
567,Balikpapan,ID,74.39,moderate rain,-1.27,116.83,Swiss-Belhotel Balikpapan
569,Antalaha,MG,70.11,clear sky,-14.9,50.28,Hotel Vitasoa
570,Maragogi,BR,76.75,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
573,Olinda,BR,79.3,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
577,San Rafael Del Sur,NI,83.32,overcast clouds,11.85,-86.44,Hospedaje El Chino
580,Turbat,PK,76.1,clear sky,26.0,63.04,Mubashar Quarters
582,Tahoua,NE,73.63,clear sky,14.89,5.27,Bungalows Guesthouse
584,Katherine,AU,79.12,scattered clouds,-14.47,132.27,Pine Tree Motel
586,Etchojoa,MX,82.27,broken clouds,26.92,-109.63,Cuadra RT
589,Oranjestad,AW,84.15,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
590,Nandyal,IN,71.22,broken clouds,15.48,78.48,Hotel Shobha
593,La Victoria,VE,76.8,overcast clouds,10.22,-67.33,Hotel Hacienda El Recreo
594,Moroni,KM,76.95,clear sky,-11.7,43.26,Hotel Les Arcades
608,Mwanza,TZ,70.74,light rain,-2.52,32.9,Gold Crest Hotel
610,Aswan,EG,70.56,clear sky,24.09,32.91,Nuba Nile
613,Puerto Madryn,AR,71.51,scattered clouds,-42.77,-65.04,Hotel Tolosa
617,Acarau,BR,80.26,overcast clouds,-2.89,-40.12,castelo pizzaria
619,Unguia,CO,81.25,overcast clouds,8.04,-77.09,Hotel Divino Niño
621,El Carmen,CO,72.7,overcast clouds,8.51,-73.45,Hotel La Casona
622,San Alberto,CO,82.54,broken clouds,7.76,-73.39,Hotel San Alberto Plaza
626,Daru,PG,80.1,moderate rain,-9.08,143.21,Daru Lodge
629,Gizo,SB,82.98,scattered clouds,-8.1,156.84,Imagination Island
630,Magaria,NE,72.61,few clouds,13.0,8.91,Chez Honorable Chapiou
631,Pringsewu,ID,72.68,light rain,-5.36,104.97,Urban Style by Front One
632,Norsup,VU,81.73,clear sky,-16.07,167.38,Nabelchel Bungalows
633,Lhokseumawe,ID,76.42,light rain,5.18,97.15,OYO 3278 Penginapan Alfajri
634,Ifo,NG,78.03,few clouds,6.81,3.2,Peace Land Hotel
635,Antsohihy,MG,78.12,few clouds,-14.88,47.99,Hotel de Ville
636,Jaru,BR,89.55,overcast clouds,-10.44,-62.47,Hotel Paraná
645,San Juan,AR,84.94,clear sky,-31.54,-68.54,Hotel Provincial
646,Bandarbeyla,SO,78.78,clear sky,9.49,50.81,JABIR HOTEL
650,Cruzeiro Do Sul,BR,75.25,clear sky,-29.51,-51.99,Estrela Palace Hotel
652,Belmonte,BR,77.41,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
653,Acari,PE,75.18,clear sky,-15.43,-74.62,HOSPEDAJE XIMENA
657,Dakar,SN,77.88,overcast clouds,14.69,-17.44,Novotel Dakar
660,Matara,LK,73.35,overcast clouds,5.95,80.54,Amaloh Boutique Resort
661,Acambay,MX,70.48,scattered clouds,19.96,-99.84,La Huerta
666,Mozarlandia,BR,88.81,scattered clouds,-14.74,-50.57,Hotel Santa Mônica
671,Manokwari,ID,79.74,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
672,Vila Do Maio,CV,75.99,scattered clouds,15.13,-23.22,Hotel Marilu
