City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Luderitz,NA,-26.65,15.16,60.62,91,0,7.61,clear sky
83,Esperance,AU,-33.87,121.9,53.38,86,48,8.95,scattered clouds
84,Inirida,CO,3.87,-67.92,86.43,68,88,0.49,overcast clouds
85,Bluff,NZ,-46.6,168.33,58.8,64,53,10.16,broken clouds
86,Eyrarbakki,IS,63.86,-21.15,45.21,89,72,12.93,broken clouds
87,Rafai,CF,4.95,23.92,70.34,64,63,1.23,broken clouds
88,Ayni,TJ,39.39,68.54,28.49,76,94,8.16,overcast clouds
89,Ketchikan,US,55.34,-131.65,43.27,87,100,11.5,overcast clouds
90,San Jose,US,37.34,-121.9,64.36,47,20,4.61,few clouds
91,Puerto Narino,CO,-3.77,-70.38,85.75,67,96,0.89,overcast clouds
92,Cidreira,BR,-30.18,-50.21,74.8,66,16,7.74,few clouds
93,Port-Gentil,GA,-0.72,8.78,78.76,83,20,5.75,few clouds
94,Macklin,CA,52.33,-109.93,25.14,96,97,8.72,overcast clouds
95,Villavicencio,CO,4.14,-73.63,79.14,88,73,2.71,broken clouds
96,Butaritari,KI,3.07,172.79,80.02,81,85,10.18,overcast clouds
97,Valdivia,CL,-39.81,-73.25,60.89,99,100,4.14,overcast clouds
98,Caramay,PH,10.18,119.24,79.21,88,80,3.47,broken clouds
99,Standerton,ZA,-26.93,29.24,55.62,87,2,5.99,clear sky
100,Russas,BR,-4.94,-37.98,81.5,69,81,11.16,broken clouds
101,Saldanha,ZA,-33.01,17.94,62.65,85,100,10.25,overcast clouds
102,San Cristobal,VE,7.77,-72.22,78.98,66,66,3.51,broken clouds
103,Ballina,AU,-28.87,153.57,72.01,68,0,7.63,clear sky
104,Nanakuli,US,21.39,-158.15,83.1,54,0,13.8,clear sky
105,Hermanus,ZA,-34.42,19.23,59.81,68,100,6.82,overcast clouds
106,Patarlagele,RO,45.32,26.36,44.26,85,56,1.88,broken clouds
107,Ginir,ET,7.13,40.7,55.38,37,0,6.2,clear sky
108,Omsukchan,RU,62.53,155.8,-10.5,76,10,2.75,clear sky
109,Geraldton,AU,-28.77,114.6,68.41,30,0,18.41,clear sky
110,Bredasdorp,ZA,-34.53,20.04,62.06,78,100,2.37,overcast clouds
111,Sinnamary,GF,5.38,-52.95,80.42,81,21,11.18,few clouds
112,Kantunilkin,MX,21.09,-87.45,88.74,41,7,6.67,clear sky
113,Sao Joao Da Barra,BR,-21.64,-41.05,80.69,90,97,22.79,overcast clouds
114,Tasiilaq,GL,65.61,-37.64,31.64,98,100,4.61,overcast clouds
115,Mar Del Plata,AR,-38.0,-57.56,60.1,97,100,16.11,drizzle
116,Provideniya,RU,64.38,-173.3,28.51,59,100,13.42,overcast clouds
117,Sao Filipe,CV,14.9,-24.5,75.9,72,62,13.87,broken clouds
118,Kodiak,US,57.79,-152.41,33.31,75,20,3.44,few clouds
119,Teguldet,RU,57.31,88.17,32.88,98,100,7.85,snow
120,Saint George,US,37.1,-113.58,53.44,33,0,5.75,clear sky
121,Pangoa,PE,-12.12,-73.0,77.38,86,66,0.92,light rain
122,Zhigansk,RU,66.77,123.37,-32.53,100,56,1.83,broken clouds
123,East London,ZA,-33.02,27.91,66.33,77,49,18.41,scattered clouds
124,Kirakira,SB,-10.45,161.92,82.54,72,60,3.58,broken clouds
125,Los Llanos De Aridane,ES,28.66,-17.92,71.13,36,0,5.75,clear sky
126,Faanui,PF,-16.48,-151.75,78.64,78,100,8.7,overcast clouds
127,Alvorada,BR,-12.48,-49.12,79.0,72,64,5.79,broken clouds
128,Berlevag,NO,70.86,29.09,39.2,93,75,12.66,light intensity drizzle
129,Saint-Philippe,RE,-21.36,55.77,71.19,75,76,14.9,light rain
130,Chuy,UY,-33.7,-53.46,62.38,88,93,14.32,overcast clouds
131,Itupiranga,BR,-5.13,-49.33,91.72,63,75,3.69,broken clouds
132,Bayburt,TR,40.26,40.23,32.68,90,12,1.86,few clouds
133,Abu Kamal,SY,34.45,40.92,64.89,38,6,7.45,clear sky
134,Whitehorse,CA,60.72,-135.05,41.77,64,75,11.5,broken clouds
135,Cururupu,BR,-1.83,-44.87,79.02,78,53,6.49,broken clouds
136,Heihe,CN,50.24,127.49,19.98,98,71,2.59,broken clouds
137,Ribeira Grande,PT,38.52,-28.7,67.77,77,75,8.01,broken clouds
138,Portland,US,45.52,-122.68,57.61,52,0,18.41,clear sky
139,Kaitangata,NZ,-46.28,169.85,63.77,59,92,3.06,overcast clouds
140,Yulara,AU,-25.24,130.99,63.03,35,0,13.6,clear sky
141,Kieta,PG,-6.22,155.63,81.0,73,92,3.24,overcast clouds
142,Masyaf,SY,35.07,36.34,60.44,55,11,2.64,few clouds
143,Puerto Ayora,EC,-0.74,-90.35,80.56,82,40,8.99,scattered clouds
144,Sarandi,BR,-23.44,-51.87,74.75,69,20,8.05,light rain
145,Namatanai,PG,-3.67,152.43,80.42,74,89,6.64,overcast clouds
146,Puerto Penasco,MX,31.32,-113.53,67.91,29,36,7.0,scattered clouds
147,Mayo,US,38.89,-76.51,51.12,50,0,5.75,clear sky
148,Torbay,CA,47.67,-52.73,44.28,98,100,10.36,light intensity drizzle
149,Bowen,AU,-20.02,148.23,78.82,72,72,2.57,broken clouds
150,Karratha,AU,-20.74,116.85,73.2,67,0,5.3,moderate rain
151,Narsaq,GL,60.92,-46.05,43.02,78,99,5.82,overcast clouds
152,Harper,LR,4.38,-7.72,77.58,85,90,7.29,light rain
153,Padang,ID,-0.95,100.35,74.23,94,100,3.83,overcast clouds
154,Hasaki,JP,35.73,140.83,54.21,79,100,13.4,moderate rain
155,Nargana,PA,9.44,-78.59,80.69,80,66,0.34,moderate rain
156,Port Hardy,CA,50.7,-127.42,41.18,93,100,0.0,overcast clouds
157,Humberto De Campos,BR,-2.6,-43.46,79.79,75,72,8.63,broken clouds
158,Hofn,IS,64.25,-15.21,45.18,87,100,12.84,overcast clouds
159,Quetigny,FR,47.32,5.12,54.54,87,100,4.61,overcast clouds
160,Mount Gambier,AU,-37.83,140.77,47.93,73,95,8.61,light rain
161,Vestmannaeyjar,IS,63.44,-20.27,46.6,86,62,15.3,broken clouds
162,Teya,RU,60.38,92.63,-2.81,100,100,3.18,overcast clouds
163,Celle,DE,52.62,10.08,46.26,92,20,5.75,few clouds
164,Pilar,BR,-9.6,-35.96,78.73,86,26,8.41,scattered clouds
165,Cache Creek,CA,50.81,-121.32,39.92,94,76,1.7,broken clouds
166,Mezen,RU,65.85,44.24,23.0,95,100,2.73,overcast clouds
167,Santa Cruz,BO,-17.8,-63.17,84.25,51,75,13.8,broken clouds
168,Shetpe,KZ,44.17,52.12,39.06,72,65,18.66,broken clouds
169,Cherskiy,RU,68.75,161.3,-22.61,100,100,0.98,overcast clouds
170,Faya,SA,18.39,42.45,59.11,72,12,2.28,few clouds
171,Saint Andrews,US,34.05,-81.13,55.18,52,40,9.22,scattered clouds
172,Anloga,GH,5.79,0.9,81.84,77,18,12.55,few clouds
173,Puerto Carreno,CO,6.19,-67.49,93.18,52,40,4.61,scattered clouds
174,Lagoa,PT,39.05,-27.98,63.3,85,38,16.37,scattered clouds
175,Burns Lake,CA,54.23,-125.75,22.42,78,100,2.84,overcast clouds
176,Kenai,US,60.55,-151.26,35.69,83,0,8.05,clear sky
177,Kuryk,KZ,43.2,51.65,47.8,55,100,20.02,overcast clouds
178,Codrington,AU,-38.27,141.97,49.12,61,100,15.64,overcast clouds
179,Fortuna,US,40.6,-124.16,57.92,71,0,8.05,clear sky
180,Svetlogorsk,BY,52.63,29.73,35.96,85,100,4.63,overcast clouds
181,Vila Franca Do Campo,PT,37.72,-25.43,67.19,94,100,7.99,overcast clouds
182,Ponta Do Sol,PT,32.67,-17.1,68.72,77,100,0.29,overcast clouds
183,Tiksi,RU,71.69,128.87,-10.95,93,100,15.05,overcast clouds
184,High Level,CA,58.52,-117.14,26.71,80,40,6.91,smoke
185,Yellowknife,CA,62.46,-114.35,23.56,100,100,10.36,overcast clouds
186,Saint-Francois,FR,46.42,3.91,53.04,94,75,4.61,broken clouds
187,Mandurah,AU,-32.55,115.7,57.87,65,0,16.73,clear sky
188,Rodrigues Alves,BR,-7.74,-72.65,89.8,96,87,2.28,overcast clouds
189,West Bay,KY,19.37,-81.42,87.08,78,40,12.66,scattered clouds
190,Yeppoon,AU,-23.13,150.73,73.18,75,0,4.18,clear sky
191,Chapais,CA,49.78,-74.85,22.78,90,100,8.39,overcast clouds
192,Arraial Do Cabo,BR,-22.97,-42.03,84.16,78,0,18.41,clear sky
193,Bambous Virieux,MU,-20.34,57.76,73.65,56,75,11.5,broken clouds
194,Aklavik,CA,68.22,-135.01,18.99,94,100,16.11,light snow
195,Galle,LK,6.04,80.22,74.3,89,100,1.68,overcast clouds
196,Kuvandyk,RU,51.48,57.36,26.04,89,100,16.13,overcast clouds
197,Kloulklubed,PW,7.04,134.26,75.7,77,100,10.51,overcast clouds
198,Cockburn Town,TC,21.46,-71.14,82.36,65,40,12.66,scattered clouds
199,Bo Phloi,TH,14.32,99.52,72.52,95,88,4.97,overcast clouds
200,Saskylakh,RU,71.92,114.08,-12.06,90,100,8.34,overcast clouds
201,Kromy,RU,52.69,35.77,29.79,72,10,4.07,clear sky
202,Turayf,SA,31.67,38.66,61.05,100,40,11.5,scattered clouds
203,Marsh Harbour,BS,26.54,-77.06,79.02,72,3,9.89,clear sky
204,Sola,VU,-13.88,167.55,80.8,70,0,1.52,clear sky
205,Javanrud,IR,34.8,46.52,41.4,61,0,3.89,clear sky
206,Lebu,CL,-37.62,-73.65,60.55,79,90,5.66,overcast clouds
207,Chota,PE,-6.55,-78.65,63.34,65,83,3.69,light rain
208,Ndjole,GA,-0.18,10.76,75.15,96,100,0.78,overcast clouds
209,Guerrero Negro,MX,27.98,-114.06,71.17,35,85,6.67,overcast clouds
210,Port Lincoln,AU,-34.73,135.87,52.86,65,99,12.59,overcast clouds
211,Alugan,PH,12.22,125.48,81.03,86,100,14.07,overcast clouds
212,Nan,TH,18.83,100.67,69.98,96,97,1.68,overcast clouds
213,Tupik,RU,54.43,119.93,8.19,95,100,1.19,overcast clouds
214,Casper,US,42.87,-106.31,34.72,49,75,14.97,broken clouds
215,Alakurtti,RU,66.97,30.35,27.75,97,95,4.47,overcast clouds
216,Alyangula,AU,-13.85,136.42,82.58,77,92,7.49,overcast clouds
217,Palana,RU,59.12,159.97,15.39,65,100,10.63,overcast clouds
218,Baherden,TM,38.44,57.43,52.79,58,0,9.91,clear sky
219,Japura,ID,-0.32,102.35,73.6,96,100,1.66,heavy intensity rain
220,Coihaique,CL,-45.58,-72.07,61.41,47,40,10.36,scattered clouds
221,Mafinga,TZ,-7.25,35.07,75.61,47,61,0.45,broken clouds
222,Ghogha,IN,21.68,72.28,79.65,59,0,8.43,clear sky
223,Vao,NC,-22.67,167.48,75.04,69,67,5.73,broken clouds
224,Kamenka,RU,51.32,42.77,27.64,66,6,10.94,clear sky
225,Asau,RO,46.43,26.4,40.28,91,47,1.92,scattered clouds
226,Nemuro,JP,43.32,145.57,38.16,61,56,2.28,broken clouds
227,Salaga,GH,8.55,-0.52,83.52,50,70,3.18,broken clouds
228,Glasgow,GB,55.87,-4.26,54.81,87,75,11.01,broken clouds
229,Nova Venecia,BR,-18.71,-40.4,79.29,69,93,12.39,overcast clouds
230,Kiama,AU,-34.68,150.87,66.0,78,31,6.55,scattered clouds
231,Yumen,CN,40.28,97.2,32.58,33,86,5.75,overcast clouds
232,Severo-Kurilsk,RU,50.68,156.12,33.64,93,99,22.53,light snow
233,Fort Nelson,CA,58.81,-122.7,32.95,78,75,6.91,broken clouds
